,player_name,date,event,category,event_round,result,opponent,score,average
0,Michael van Gerwen,19/08/2018,Brisbane Masters,PDC U,Final,Lost,Rob Cross,6 V 11,98.41
1,Michael van Gerwen,19/08/2018,Brisbane Masters,PDC U,Semi Final,Won,Raymond van Barneveld,11 V 9,96.81
2,Michael van Gerwen,18/08/2018,Brisbane Masters,PDC U,Quarter Final,Won,Kyle Anderson,10 V 3,98.44
3,Michael van Gerwen,17/08/2018,Brisbane Masters,PDC U,Last 16,Won,Mark Cleaver,6 V 2,99.15
4,Michael van Gerwen,12/08/2018,Melbourne Masters,PDC U,Semi Final,Lost,Peter Wright,7 V 11,103.47
5,Michael van Gerwen,11/08/2018,Melbourne Masters,PDC U,Quarter Final,Won,Simon Whitlock,10 V 8,100.20
6,Michael van Gerwen,10/08/2018,Melbourne Masters,PDC U,Last 16,Won,Raymond Smith,6 V 1,112.61
7,Michael van Gerwen,05/08/2018,Auckland Masters,PDC U,Final,Won,Raymond van Barneveld,11 V 4,97.72
8,Michael van Gerwen,05/08/2018,Auckland Masters,PDC U,Semi Final,Won,Peter Wright,10 V 3,102.76
9,Michael van Gerwen,04/08/2018,Auckland Masters,PDC U,Quarter Final,Won,Gary Anderson,10 V 4,105.87
10,Michael van Gerwen,03/08/2018,Auckland Masters,PDC U,Last 16,Won,Tuhuna Irwin,6 V 2,102.45
11,Michael van Gerwen,21/07/2018,World Matchplay,PDC Premier,Last 32,Lost,Jeffrey de Zwaan,6 V 10,97.88
12,Michael van Gerwen,14/07/2018,Shanghai Masters,PDC U,Semi Final,Lost,Michael Smith,4 V 8,93.22
13,Michael van Gerwen,14/07/2018,Shanghai Masters,PDC U,Quarter Final,Won,Daryl Gurney,8 V 4,99.24
14,Michael van Gerwen,13/07/2018,Shanghai Masters,PDC U,Last 16,Won,Lihao Wen,6 V 1,104.02
15,Michael van Gerwen,07/07/2018,US Darts Masters,PDC U,Quarter Final,Lost,James Wade,3 V 8,104.54
16,Michael van Gerwen,06/07/2018,US Darts Masters,PDC U,Last 16,Won,Jeff Smith,6 V 0,101.33
17,Michael van Gerwen,01/07/2018,PDC European Matchplay,PDC ET,Final,Won,Willie O Connor,8 V 2,105.17
18,Michael van Gerwen,01/07/2018,PDC European Matchplay,PDC ET,Semi Final,Won,Stephen Bunting,7 V 4,99.55
19,Michael van Gerwen,01/07/2018,PDC European Matchplay,PDC ET,Quarter Final,Won,Ian White,6 V 4,104.82
20,Michael van Gerwen,01/07/2018,PDC European Matchplay,PDC ET,Last 16,Won,Robert Thornton,6 V 1,101.33
21,Michael van Gerwen,30/06/2018,PDC European Matchplay,PDC ET,Last 32,Won,Ryan Joyce,6 V 2,104.87
22,Michael van Gerwen,24/06/2018,PDC Danish Open,PDC ET,Last 16,Lost,Brendan Dolan,4 V 6,95.17
23,Michael van Gerwen,23/06/2018,PDC Danish Open,PDC ET,Last 32,Won,Scott Taylor,6 V 2,91.30
24,Michael van Gerwen,10/06/2018,PDC Gibraltar Darts Trophy,PDC ET,Final,Won,Adrian Lewis,8 V 3,108.13
25,Michael van Gerwen,10/06/2018,PDC Gibraltar Darts Trophy,PDC ET,Semi Final,Won,Steve West,7 V 4,105.20
26,Michael van Gerwen,10/06/2018,PDC Gibraltar Darts Trophy,PDC ET,Quarter Final,Won,Johnny Clayton,6 V 2,97.39
27,Michael van Gerwen,10/06/2018,PDC Gibraltar Darts Trophy,PDC ET,Last 16,Won,Andy Boulton,6 V 2,103.26
28,Michael van Gerwen,09/06/2018,PDC Gibraltar Darts Trophy,PDC ET,Last 32,Won,Vincent van der Voort,6 V 4,107.86
29,Michael van Gerwen,03/06/2018,PDC World Cup of Darts,PDC U,Final Sub Match,Won,Gary Anderson,4 V 0,111.33
30,Michael van Gerwen,03/06/2018,PDC World Cup of Darts,PDC U,Final Sub Match,Won,Peter Wright,4 V 2,97.20
31,Michael van Gerwen,03/06/2018,PDC World Cup of Darts,PDC U,Semi Final Sub Match,Won,Kim Huybrechts,4 V 2,105.78
32,Michael van Gerwen,03/06/2018,PDC World Cup of Darts,PDC U,Quarter Final Sub Match,Won,Martin Schindler,4 V 1,109.61
33,Michael van Gerwen,02/06/2018,PDC World Cup of Darts,PDC U,Last 16 Sub Match,Won,Liam O Brien,4 V 0,95.43
34,Michael van Gerwen,25/05/2018,PDC German Darts Masters World Series,PDC U,Quarter Final,Lost,Dimitri van den Bergh,3 V 8,98.72
35,Michael van Gerwen,25/05/2018,PDC German Darts Masters World Series,PDC U,Last 16,Won,Max Hopp,6 V 4,106.46
36,Michael van Gerwen,17/05/2018,Premier League,PDC U,Final,Won,Michael Smith,11 V 4,112.37
37,Michael van Gerwen,17/05/2018,Premier League,PDC U,Semi Final,Won,Rob Cross,10 V 6,103.65
38,Michael van Gerwen,13/05/2018,PDC Dutch Darts Masters,PDC ET,Final,Won,Steve Lennon,8 V 5,97.53
39,Michael van Gerwen,13/05/2018,PDC Dutch Darts Masters,PDC ET,Semi Final,Won,Daryl Gurney,7 V 6,93.34
40,Michael van Gerwen,13/05/2018,PDC Dutch Darts Masters,PDC ET,Quarter Final,Won,Kyle Anderson,6 V 2,102.78
41,Michael van Gerwen,13/05/2018,PDC Dutch Darts Masters,PDC ET,Last 16,Won,Darren Webster,6 V 4,91.97
42,Michael van Gerwen,12/05/2018,PDC Dutch Darts Masters,PDC ET,Last 32,Won,Terry Jenkins,6 V 0,95.94
43,Michael van Gerwen,10/05/2018,Premier League,PDC U,League 10,Lost,Gary Anderson,5 V 7,100.41
44,Michael van Gerwen,06/05/2018,PDC European Darts Grand Prix,PDC ET,Final,Won,James Wade,8 V 3,110.87
45,Michael van Gerwen,06/05/2018,PDC European Darts Grand Prix,PDC ET,Semi Final,Won,Michael Smith,7 V 0,109.59
46,Michael van Gerwen,06/05/2018,PDC European Darts Grand Prix,PDC ET,Quarter Final,Won,Dave Chisnall,6 V 4,109.54
47,Michael van Gerwen,06/05/2018,PDC European Darts Grand Prix,PDC ET,Last 16,Won,Darren Webster,6 V 5,104.80
48,Michael van Gerwen,05/05/2018,PDC European Darts Grand Prix,PDC ET,Last 32,Won,Alan Tabern,6 V 2,103.04
49,Michael van Gerwen,03/05/2018,Premier League,PDC U,League 10,Won,Rob Cross,7 V 2,111.57
50,Michael van Gerwen,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Quarter Final,Lost,Johnny Clayton,4 V 6,103.49
51,Michael van Gerwen,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Last 16,Won,Mark Webster,6 V 2,102.74
52,Michael van Gerwen,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Last 32,Won,Gary Eastwood,6 V 0,93.94
53,Michael van Gerwen,29/04/2018,PDPA Players Championship Wigan 10,PDC Pro Tour,Last 64,Won,Robert Thornton,6 V 1,95.48
