,Unnamed: 0,date,odds_1,odds_2,players,score,tournament_name,year
0,0.0,19 Aug 2018,31/10,11/50,Cross R. - van Gerwen M.,11:6,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
1,1.0,19 Aug 2018,13/100,114/25,van Gerwen M. - van Barneveld R.,11:9,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
2,2.0,19 Aug 2018,1/1,77/100,Wright P. - Cross R.,8:11,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
3,3.0,18 Aug 2018,9/100,283/50,Wright P. - Smith R.,10:4,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
4,4.0,18 Aug 2018,1/20,807/100,van Gerwen M. - Anderson K.,10:3,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
5,5.0,18 Aug 2018,1/2,3/2,Cross R. - Cadby C.,10:4,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
6,6.0,18 Aug 2018,33/100,109/50,Anderson G. - van Barneveld R.,8:10,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
7,7.0,17 Aug 2018,3/100,261/25,Anderson G. - Heta D.,6:5,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
8,8.0,17 Aug 2018,27/25,71/100,Whitlock S. - Cadby C.,5:6,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
9,9.0,17 Aug 2018,1/100,392/25,van Gerwen M. - Cleaver M.,6:2,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
10,10.0,17 Aug 2018,1/25,883/100,Cross R. - Pusey T.,6:2,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
11,11.0,17 Aug 2018,1/20,41/5,Wright P. - Thompson J.,6:2,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
12,12.0,17 Aug 2018,1/10,561/100,Anderson K. - Gardner B.,6:2,http://www.oddsportal.com/darts/australia/brisbane-masters,2018.0
